zip,lat,lon,min_lon,min_lat,max_lon,max_lat
00601,18.180294394180535,-66.75267096449394,-66.836366,18.111929,-66.661045,18.250344
00602,18.362297721777065,-67.17647879398007,-67.240437,18.312691,-67.126434,18.417478
00603,18.45889584515463,-67.12401288126146,-67.17325,18.385925,-67.056404,18.51684
00606,18.165849754536143,-66.93715351711793,-67.051461,18.114701,-66.83676,18.207916
00610,18.290937027749155,-67.12522703766562,-67.227532,18.249114,-67.037935,18.33354
00611,18.27697581008871,-66.80688075280271,-66.827445,18.227379,-66.78259,18.323382
00612,18.417081150711184,-66.70265263740588,-66.776413,18.315205,-66.554785,18.497983
00616,18.418727968831664,-66.66788702204263,-66.704363,18.373065,-66.626624,18.447282
00617,18.447154504913893,-66.55963361952927,-66.593456,18.389379,-66.521122,18.493577
00622,17.98598485704839,-67.16052591114455,-67.219342,17.930892,-67.102278,18.045227
00623,18.085343652534725,-67.15685205204636,-67.215128,18.024778,-67.098496,18.169984
00624,18.050244746882377,-66.7213305873553,-66.769754,17.960545,-66.665935,18.135002
00627,18.420885053915907,-66.86061656825808,-66.90266,18.342998,-66.810598,18.495801
00631,18.185107840262663,-66.83167076358671,-66.851108,18.162928,-66.81261,18.211012
00636,18.163600245491764,-67.08009684795371,-67.086045,18.156251,-67.071029,18.172853
00637,18.08101740513648,-66.94659077628842,-66.996781,18.023883,-66.894181,18.145572
00638,18.284596837517423,-66.51370303480918,-66.597066,18.155662,-66.453353,18.380883
00641,18.267401629996787,-66.70210999558167,-66.803507,18.173059,-66.595288,18.349698
00646,18.434362886116233,-66.28415250163997,-66.317421,18.380536,-66.252504,18.483403
00647,17.963306954099757,-66.94254955598176,-66.983652,17.92437,-66.901653,18.007339
00650,18.34485227893971,-66.58350592990645,-66.663751,18.279741,-66.511172,18.415326
00652,18.456152486451636,-66.60190986177065,-66.629645,18.43569,-66.579868,18.481021
00653,17.991313996125637,-66.9012860043792,-66.960511,17.936846,-66.857277,18.0365
00656,18.038297600445947,-66.79166401247615,-66.858233,17.946005,-66.732974,18.138652
00659,18.41242612458013,-66.79701899127922,-66.838706,18.320614,-66.764548,18.496382
00660,18.13413372890293,-67.11394048636554,-67.159733,18.103953,-67.077797,18.160334
00662,18.46803469318987,-67.01573944300718,-67.103659,18.403979,-66.94182,18.518707
00664,18.210631441561326,-66.59066461175291,-66.66733,18.149659,-66.531023,18.300412
00667,18.005253830097256,-67.0400786145365,-67.115871,17.935455,-66.958748,18.084515
00669,18.270198583153167,-66.86728331310415,-66.930851,18.170713,-66.813267,18.368177
00670,18.23781259221818,-66.98849523815274,-67.079729,18.187744,-66.897964,18.290028
00674,18.424131489803766,-66.48903643128547,-66.543785,18.350255,-66.431811,18.489497
00676,18.378938998285676,-67.08099455361912,-67.140385,18.306655,-67.027173,18.460954
00677,18.33577299872481,-67.23327674167756,-67.273073,18.29431,-67.181695,18.378871
00678,18.431283398008777,-66.93009615812248,-66.970434,18.360201,-66.8989,18.494621
00680,18.1558086089625,-67.41920505793773,-67.951798,18.048418,-67.017388,18.264443
00682,18.224133706595612,-67.15647095672661,-67.198225,18.152351,-67.11377,18.273546
00683,18.109244194817375,-67.03802902597431,-67.109044,18.052409,-66.97662,18.174149
00685,18.33654895660074,-66.97516989078434,-67.052583,18.253322,-66.891918,18.421712
00687,18.31708438609462,-66.4202931534869,-66.465142,18.255846,-66.365272,18.378107
00688,18.38071149535601,-66.62493626951019,-66.679225,18.324559,-66.582278,18.440167
00690,18.493612226530693,-67.09730419679367,-67.112096,18.477286,-67.082486,18.512801
00692,18.410917830060676,-66.33756936101739,-66.378134,18.330622,-66.299744,18.490309
00693,18.42821927225174,-66.39855536009073,-66.448994,18.342481,-66.341044,18.49901
00694,18.487152950731787,-66.38995503882072,-66.399812,18.471328,-66.377073,18.49869
00698,18.072568428897828,-66.85519804468036,-66.920727,17.950825,-66.796077,18.171242
00703,18.24739178492969,-66.13140794623762,-66.198367,18.19763,-66.066103,18.303321
00704,17.974395952755824,-66.22886434086182,-66.269305,17.931036,-66.197272,17.999214
00705,18.129399877385616,-66.26651982714745,-66.320913,18.070444,-66.216397,18.180381
00707,18.0159430563079,-65.9186673961923,-65.987901,17.97751,-65.848274,18.057884
00714,17.99583782427015,-66.05548040305378,-66.095209,17.948472,-66.018415,18.040472
00715,17.988346715990527,-66.56259514358759,-66.600016,17.947241,-66.530417,18.036187
00716,17.985059507078525,-66.60627759095723,-66.638235,17.945087,-66.559545,18.040433
00717,18.00272353435417,-66.61144461162037,-66.63699,17.985612,-66.592571,18.012871
00718,18.22975483236078,-65.75893474505406,-65.831388,18.170444,-65.669528,18.296545
00719,18.28874692370069,-66.25317688750933,-66.314074,18.240967,-66.204014,18.334386
00720,18.21562012854433,-66.42417351129954,-66.517857,18.16299,-66.350278,18.293976
00723,18.023948828473067,-66.00525470166956,-66.089378,17.959132,-65.902724,18.109878
00725,18.220553281932705,-66.03962698689637,-66.103241,18.113069,-65.997215,18.326596
00727,18.21142629796352,-66.07374086255696,-66.117916,18.149891,-66.03999,18.270718
00728,17.9908687586965,-66.66287251525554,-66.705336,17.945087,-66.624703,18.05562
00729,18.335177483065355,-65.88677022537836,-65.93134,18.25273,-65.836387,18.427798
00730,18.032573584068672,-66.61376970178779,-66.645151,18.008461,-66.574428,18.056307
00731,18.099161767528212,-66.63278746406132,-66.698249,18.0197,-66.568651,18.172479
00735,18.248826698238602,-65.6700472202983,-65.766831,18.196208,-65.589893,18.296755
00736,18.107399271839817,-66.14992673532431,-66.227059,18.036917,-66.051162,18.171556
00738,18.332874625045097,-65.6318095959391,-65.753591,18.267574,-65.515629,18.405944
00739,18.175437406099135,-66.16198950762684,-66.243315,18.133465,-66.101673,18.230373
00740,18.336305160390026,-65.63124383644399,-65.642042,18.32657,-65.624604,18.346932
00741,18.163534154718022,-65.75120680893977,-65.772884,18.14386,-65.727647,18.182341
00745,18.348628879674386,-65.81288819593402,-65.878276,18.27168,-65.748562,18.427815
00751,18.003975154601818,-66.26221442056323,-66.342607,17.910817,-66.166145,18.095925
00754,18.144701362584517,-65.97567438898344,-66.052736,18.075565,-65.920545,18.229431
00757,17.99069562184968,-66.39267811456295,-66.455471,17.938172,-66.331373,18.042627
00765,18.12327428549453,-65.42180141524723,-65.566181,18.076005,-65.263992,18.165977
00766,18.130422812174142,-66.4756970658615,-66.54722,18.080915,-66.418716,18.178854
00767,18.069178649981225,-65.89316592575324,-66.010887,18.007675,-65.79147,18.126145
00769,18.094599891914278,-66.36071784295788,-66.431557,18.006603,-66.265474,18.174902
00771,18.187911003303256,-65.8692027634034,-65.928341,18.117735,-65.815653,18.275246
00772,18.433653941539056,-65.90504967590326,-65.992833,18.397748,-65.82678,18.465623
00773,18.342511180099898,-65.72748631945457,-65.770556,18.288031,-65.677735,18.393005
00775,18.31979907297006,-65.29635507139184,-65.397363,18.27352,-65.221027,18.36629
00777,18.2235832741109,-65.90905323216319,-65.958805,18.142845,-65.851729,18.27013
00778,18.263162190700225,-65.9793512422995,-66.030747,18.200384,-65.918535,18.310825
00780,18.09993023404383,-66.57028768653359,-66.611889,18.026288,-66.531809,18.168285
00782,18.224982666986286,-66.22452367515427,-66.283285,18.172858,-66.168775,18.276794
00783,18.303487569937168,-66.32851709915413,-66.383236,18.236157,-66.27781,18.368163
00784,18.004289330481008,-66.13641819052027,-66.225359,17.914575,-66.053146,18.107602
00786,18.135724836410784,-66.2286980125179,-66.240572,18.122771,-66.216663,18.149893
00791,18.14280832028614,-65.81287730871837,-65.877753,18.069306,-65.754526,18.206759
00794,18.199333261784144,-66.31181575844008,-66.373896,18.147704,-66.240357,18.249704
00795,18.047172008324555,-66.49506896310993,-66.565363,17.966882,-66.420939,18.153175
00802,18.3427470101106,-64.92583958869446,-65.056902,18.293644,-64.811999,18.401857
00820,17.736663298040387,-64.70671776441186,-64.79882,17.682359,-64.565193,17.783842
00830,18.337227228893685,-64.73045024214858,-64.813407,18.298189,-64.660521,18.372993
00840,17.7254469357301,-64.84840277394483,-64.903808,17.673931,-64.792552,17.779569
00850,17.727085122802574,-64.79104058688857,-64.819067,17.691611,-64.761006,17.75812
00851,17.747525193003025,-64.78743933499851,-64.793456,17.74134,-64.780524,17.753227
00901,18.466109537819268,-66.10885616848525,-66.129403,18.454934,-66.080135,18.480827
00906,18.46445971401112,-66.0949949279532,-66.095617,18.464069,-66.094368,18.464855
00907,18.452333931666484,-66.0878949904507,-66.118365,18.437911,-66.058922,18.465109
00909,18.441260851739848,-66.06853603132161,-66.07664,18.432832,-66.059173,18.450957
00911,18.45368769989091,-66.0558898814639,-66.065938,18.447177,-66.043636,18.462315
00912,18.445066781948327,-66.05994183219563,-66.067612,18.439358,-66.052803,18.449894
00913,18.456195441620434,-66.04314773167481,-66.051906,18.446367,-66.034296,18.467094
00915,18.436725920701488,-66.0457478066599,-66.062261,18.427795,-66.029735,18.447424
00917,18.42079566815792,-66.04988529394551,-66.059056,18.407876,-66.039141,18.433688
00918,18.4214092538934,-66.06775841678093,-66.082818,18.404503,-66.052656,18.439039
00920,18.422758805884698,-66.092091990779,-66.108491,18.393402,-66.074799,18.442898
00921,18.392088536914297,-66.08710913596889,-66.10621,18.373632,-66.069757,18.407312
00923,18.411452639525667,-66.03715917281104,-66.052656,18.394622,-66.02381,18.428069
00924,18.3998834153553,-66.01345008510266,-66.031454,18.378851,-65.991415,18.423084
00925,18.400271090070206,-66.050589544189,-66.05658,18.395067,-66.043031,18.407876
00926,18.346874572124072,-66.05433996263574,-66.102448,18.301923,-66.003464,18.396659
00927,18.388830870588155,-66.07149906776561,-66.090329,18.367217,-66.053228,18.410019
00934,18.41373781353329,-66.12004327352429,-66.134268,18.404685,-66.104795,18.422402
00949,18.436050139634233,-66.20483029304486,-66.263853,18.386603,-66.123451,18.483643
00950,18.463672133356276,-66.2363483675853,-66.25841,18.449718,-66.195649,18.481089
00951,18.43170746684403,-66.2562982942996,-66.264379,18.418269,-66.25086,18.45514
00952,18.428723952680066,-66.18893076625406,-66.212385,18.417495,-66.169322,18.441549
00953,18.36316760858457,-66.24767140577795,-66.319241,18.323998,-66.197243,18.404782
00956,18.321196705222874,-66.17187052690952,-66.213537,18.25884,-66.132302,18.388762
00957,18.366954445376454,-66.1885486773429,-66.206006,18.337795,-66.169456,18.396353
00959,18.385164641231405,-66.15578842188962,-66.198138,18.333279,-66.118736,18.407855
00960,18.416797305249993,-66.14343533725523,-66.157416,18.406859,-66.127405,18.424656
00961,18.409894053372366,-66.16416843228703,-66.198286,18.395286,-66.125592,18.4315
00962,18.437089879667127,-66.13656168359529,-66.162311,18.41942,-66.108281,18.461053
00965,18.42928897801105,-66.11146032870636,-66.123183,18.416731,-66.099409,18.440542
00966,18.397875204510907,-66.11393547206507,-66.132909,18.376398,-66.09415,18.420743
00968,18.406062915783437,-66.10123216453172,-66.107695,18.400432,-66.094969,18.41188
00969,18.366926061349687,-66.10993770778154,-66.131497,18.343116,-66.081167,18.384767
00971,18.320679582730374,-66.11755055953478,-66.144119,18.2777,-66.08669,18.382701
00976,18.339066602410792,-65.99294710972545,-66.036522,18.293326,-65.938861,18.388318
00979,18.43960049328202,-66.01000189602306,-66.043086,18.418638,-65.980791,18.458693
00982,18.409640532152675,-65.99144166501132,-66.007992,18.39165,-65.977828,18.422125
00983,18.417864606093396,-65.98101658169863,-66.017066,18.388834,-65.965896,18.442387
00985,18.40629350650048,-65.94765787086038,-65.974068,18.375786,-65.91901,18.437476
00987,18.341153691917533,-65.9426074497056,-66.001085,18.270105,-65.901782,18.398632
01001,42.06265115249845,-72.62519471625573,-72.667902,42.031068,-72.582535,42.100623
01002,42.37630078221058,-72.46463593093777,-72.546776,42.301458,-72.355015,42.438142
01003,42.39138193042269,-72.52319418253984,-72.5334,42.380692,-72.504949,42.399285
01005,42.421162335239735,-72.10655183356005,-72.20515,42.356423,-72.007388,42.484523
01007,42.28158283961535,-72.40008252562903,-72.472287,42.185737,-72.331535,42.373569
01008,42.18231739823741,-72.95818289375322,-73.056879,42.103527,-72.87218,42.251347
01009,42.211385904704755,-72.34180859833218,-72.352837,42.202473,-72.331909,42.220719
